mV	mV	mV	mV	mV	°C	bar	%*bar	Zeit	Datum
0,297108	0,798151	1,09854	0,997348	0,555241	24,31	0,017191	2,75709	18:37:47	30.10.2023
0,296829	0,800591	1,09975	0,998785	0,555173	24,3951	0,0183819	2,7483	18:38:47	30.10.2023
0,298542	0,797681	1,10171	0,996311	0,555403	24,366	0,0171944	2,74413	18:39:47	30.10.2023
0,295705	0,802164	1,10172	0,995871	0,555773	24,381	0,0167935	2,61399	18:40:47	30.10.2023
0,296078	0,799559	1,09983	0,997478	0,556296	24,3084	0,0171123	2,75887	18:41:47	30.10.2023
0,294984	0,801607	1,10231	0,992255	0,556149	24,3785	0,0173074	3,12199	18:42:47	30.10.2023
0,295308	0,798427	1,09875	0,994165	0,555013	24,3656	0,0161687	3,14471	18:43:47	30.10.2023
0,294662	0,800401	1,09974	0,991804	0,556206	24,3579	0,0173306	3,15245	18:44:47	30.10.2023
0,295834	0,801906	1,09958	0,99148	0,55483	24,3595	0,017219	3,12673	18:45:47	30.10.2023
0,295971	0,799037	1,09983	0,991786	0,555969	24,3375	0,0180585	3,12809	18:46:47	30.10.2023
0,295981	0,800718	1,09941	0,987412	0,55573	24,339	0,0173224	3,11624	18:47:47	30.10.2023
0,296382	0,800813	1,10089	0,990344	0,55605	24,3374	0,0171827	3,14453	18:48:47	30.10.2023
0,297746	0,797095	1,10141	0,986503	0,555475	24,3498	0,0179037	3,15039	18:49:47	30.10.2023
0,296656	0,798616	1,0996	0,985292	0,555456	24,3885	0,0171502	3,11454	18:50:47	30.10.2023
0,296326	0,799138	1,10163	0,985993	0,554809	24,3657	0,0166842	3,14728	18:51:47	30.10.2023
0,297501	0,798943	1,10371	0,986363	0,555697	24,4322	0,017575	3,65302	18:52:47	30.10.2023
0,298192	0,800604	1,10048	0,986649	0,556124	24,3597	0,0177616	3,63351	18:53:47	30.10.2023
0,297231	0,798165	1,10237	0,982764	0,5559	24,3097	0,017698	3,55069	18:54:47	30.10.2023
0,295968	0,797533	1,10321	0,983285	0,55483	24,4047	0,0182609	3,49717	18:55:47	30.10.2023
0,298875	0,799143	1,10178	0,98204	0,556211	24,3015	0,0175908	3,49234	18:56:47	30.10.2023
0,29863	0,795794	1,10084	0,981186	0,555388	24,3326	0,0177531	3,62316	18:57:47	30.10.2023
0,29733	0,799033	1,10074	0,982159	0,55564	24,3513	0,0168339	3,5432	18:58:47	30.10.2023
0,297906	0,799298	1,1001	0,98214	0,556104	24,3719	0,0170699	3,50734	18:59:47	30.10.2023
0,299502	0,798654	1,10109	0,980293	0,555552	24,3288	0,0165515	3,52762	19:00:47	30.10.2023
0,297315	0,795953	1,10159	0,978708	0,556167	24,3631	0,018119	3,51999	19:01:47	30.10.2023
0,297375	0,798086	1,10251	0,978444	0,554838	24,302	0,0171574	3,19218	19:02:47	30.10.2023
0,29599	0,79843	1,1008	0,978615	0,554005	24,3522	0,0170984	3,14741	19:03:47	30.10.2023
0,295869	0,796698	1,10402	0,975877	0,555307	24,4048	0,0176963	3,15167	19:04:47	30.10.2023
0,296308	0,798099	1,1023	0,97681	0,555202	24,4605	0,0173438	3,11454	19:05:47	30.10.2023
0,298978	0,798537	1,10142	0,97698	0,555817	24,3483	0,0166569	3,12746	19:06:47	30.10.2023
0,298345	0,797222	1,10159	0,976733	0,555634	24,406	0,0174378	3,13333	19:07:47	30.10.2023
0,297508	0,797094	1,10205	0,974312	0,555146	24,3863	0,0162657	3,15247	19:08:47	30.10.2023
0,298742	0,796804	1,10053	0,975798	0,555947	24,4081	0,0174704	3,11611	19:09:47	30.10.2023
0,298441	0,79599	1,10531	0,972914	0,556168	24,3987	0,0171284	3,11315	19:10:47	30.10.2023
0,297945	0,7944	1,1065	0,9732	0,555526	24,3528	0,0178094	3,11939	19:11:47	30.10.2023
0,297156	0,79519	1,10426	0,971441	0,554898	24,4122	0,0162068	2,77943	19:12:47	30.10.2023
0,298302	0,796676	1,10652	0,971293	0,554777	24,3803	0,0173484	2,76651	19:13:47	30.10.2023
0,296805	0,799053	1,10614	0,973031	0,556163	24,3601	0,0179372	2,74259	19:14:47	30.10.2023
0,296765	0,795479	1,10556	0,972538	0,555658	24,3098	0,0177369	2,77097	19:15:47	30.10.2023
